arr_size,arr_stride,step_count,elapsed_usec
268435456,4,67,91343825
268435456,8,37,91104198
268435456,16,20,91845585
268435456,32,12,98166102
268435456,64,11,90010465
268435456,128,11,90348751
268435456,256,11,90953704
268435456,512,11,91928266
268435456,1024,11,95909594
268435456,2048,10,93486814
268435456,4096,8,94120231
268435456,8192,8,95187497
268435456,16384,8,95646849
268435456,32768,8,95927368
268435456,65536,8,95923849
268435456,131072,8,95927233
268435456,262144,8,95924269
268435456,524288,8,95925455
268435456,1048576,8,95927662
268435456,2097152,8,95925685
268435456,4194304,8,95925164
268435456,8388608,8,95928929
268435456,16777216,8,95925754
268435456,33554432,8,95927265
268435456,67108864,235,90117845
268435456,134217728,235,90117848
134217728,4,67,91342199
134217728,8,37,91210621
134217728,16,20,91841592
134217728,32,12,98161895
134217728,64,11,90006291
134217728,128,11,90396164
134217728,256,11,90975822
134217728,512,11,91923713
134217728,1024,11,95905920
134217728,2048,10,93484412
134217728,4096,8,94121477
134217728,8192,8,95187505
134217728,16384,8,95661985
134217728,32768,8,95932232
134217728,65536,8,95931150
134217728,131072,8,95931604
134217728,262144,8,95931816
134217728,524288,8,95931511
134217728,1048576,8,95928765
134217728,2097152,8,95928575
134217728,4194304,8,95928568
134217728,8388608,8,95931478
134217728,16777216,8,95931630
134217728,33554432,235,90117851
134217728,67108864,235,90117851
67108864,4,67,91338198
67108864,8,37,91118495
67108864,16,20,91834142
67108864,32,12,98154647
67108864,64,11,90005811
67108864,128,11,90378144
67108864,256,11,90966492
67108864,512,11,91924361
67108864,1024,11,95897101
67108864,2048,10,93479335
67108864,4096,8,94121478
67108864,8192,8,95187495
67108864,16384,8,95661481
67108864,32768,8,95928718
67108864,65536,8,95927982
67108864,131072,8,95929954
67108864,262144,8,95929903
67108864,524288,8,95930250
67108864,1048576,8,95928986
67108864,2097152,8,95929139
67108864,4194304,8,95926927
67108864,8388608,8,95925451
67108864,16777216,235,90117847
67108864,33554432,235,90117848
33554432,4,67,91330152
33554432,8,37,91104012
33554432,16,20,91818939
33554432,32,12,98137357
33554432,64,12,98164049
33554432,128,11,90371149
33554432,256,11,90950728
33554432,512,11,91900401
33554432,1024,11,95879501
33554432,2048,10,93473119
33554432,4096,8,94121063
33554432,8192,8,95187503
33554432,16384,8,95661053
33554432,32768,8,95929472
33554432,65536,8,95926089
33554432,131072,8,95928510
33554432,262144,8,95925958
33554432,524288,8,95925996
33554432,1048576,8,95929064
33554432,2097152,8,95925946
33554432,4194304,8,95929418
33554432,8388608,235,90117850
33554432,16777216,235,90117850
16777216,4,67,91314189
16777216,8,37,91074787
16777216,16,20,91788566
16777216,32,12,98103008
16777216,64,12,98130724
16777216,128,11,90292956
16777216,256,11,90893351
16777216,512,11,91869439
16777216,1024,11,95836043
16777216,2048,10,93455748
16777216,4096,8,94121171
16777216,8192,8,95187499
16777216,16384,8,95657447
16777216,32768,8,95928327
16777216,65536,8,95924611
16777216,131072,8,95927285
16777216,262144,8,95925424
16777216,524288,8,95927317
16777216,1048576,8,95924609
16777216,2097152,8,95925475
16777216,4194304,235,90117853
16777216,8388608,235,90117854
8388608,4,67,91282092
8388608,8,37,91046971
8388608,16,20,91761871
8388608,32,12,98047375
8388608,64,12,98070575
8388608,128,11,90260836
8388608,256,11,90856823
8388608,512,11,91798983
8388608,1024,11,95780090
8388608,2048,10,93403249
8388608,4096,8,94119862
8388608,8192,8,95187486
8388608,16384,8,95641402
8388608,32768,8,95921303
8388608,65536,8,95920445
8388608,131072,8,95919921
8388608,262144,8,95919744
8388608,524288,8,95921838
8388608,1048576,8,95918914
8388608,2097152,235,90117847
8388608,4194304,235,90117844
4194304,4,67,91218053
4194304,8,37,90965565
4194304,16,20,91607008
4194304,32,12,97896117
4194304,64,12,97936355
4194304,128,11,90104781
4194304,256,11,90728932
4194304,512,11,91683543
4194304,1024,11,95646890
4194304,2048,10,93326169
4194304,4096,8,94119832
4194304,8192,8,95187492
4194304,16384,8,95636141
4194304,32768,8,95918151
4194304,65536,8,95918005
4194304,131072,8,95917556
4194304,262144,8,95917570
4194304,524288,8,95919955
4194304,1048576,235,90117848
4194304,2097152,235,90117844
2097152,4,67,91089845
2097152,8,37,90753815
2097152,16,20,91356453
2097152,32,12,97621848
2097152,64,12,97661680
2097152,128,12,98067600
2097152,256,11,90470652
2097152,512,11,91431589
2097152,1024,11,95554966
2097152,2048,10,93124203
2097152,4096,8,94119848
2097152,8192,8,95187493
2097152,16384,8,95634288
2097152,32768,8,95920576
2097152,65536,8,95917506
2097152,131072,8,95916687
2097152,262144,8,95917218
2097152,524288,235,90117851
2097152,1048576,235,90117851
1048576,4,67,90833445
1048576,8,37,90226499
1048576,16,20,90877679
1048576,32,12,97075751
1048576,64,12,97118332
1048576,128,12,97493073
1048576,256,12,98143080
1048576,512,11,90934852
1048576,1024,11,94848571
1048576,2048,10,92846761
1048576,4096,8,94119828
1048576,8192,8,95187487
1048576,16384,8,95641357
1048576,32768,8,95919187
1048576,65536,8,95919736
1048576,131072,8,95916254
1048576,262144,235,90117852
1048576,524288,235,90117853
524288,4,67,90320693
524288,8,38,92427925
524288,16,20,90450780
524288,32,12,96193463
524288,64,12,96026691
524288,128,12,96396547
524288,256,12,97032613
524288,512,11,90018045
524288,1024,11,93798918
524288,2048,10,92198499
524288,4096,8,94119383
524288,8192,8,95187486
524288,16384,8,95641227
524288,32768,8,95915502
524288,65536,8,95918572
524288,131072,235,90117848
524288,262144,235,90117849
262144,4,68,90628283
262144,8,38,91188643
262144,16,21,92368019
262144,32,12,94405819
262144,64,12,93839950
262144,128,12,94255633
262144,256,12,94798257
262144,512,12,95921334
262144,1024,11,91622713
262144,2048,10,90997241
262144,4096,8,94119400
262144,8192,8,95187486
262144,16384,8,95641358
262144,32768,8,95919243
262144,65536,235,90117847
262144,131072,235,90117847
131072,4,70,91149785
131072,8,40,90694921
131072,16,22,92472765
131072,32,13,97100014
131072,64,13,97163288
131072,128,12,90095606
131072,256,12,90362147
131072,512,12,91573453
131072,1024,12,95102226
131072,2048,11,96976973
131072,4096,8,94119606
131072,8192,8,95187492
131072,16384,8,95632896
131072,32768,235,90117846
131072,65536,235,90117844
65536,4,73,90588457
65536,8,44,91288821
65536,16,24,91502265
65536,32,14,95045846
65536,64,13,93759947
65536,128,14,94558065
65536,256,14,95106671
65536,512,14,96861550
65536,1024,12,92692626
65536,2048,11,90796829
65536,4096,8,94119487
65536,8192,8,95187480
65536,16384,235,90117848
65536,32768,235,90117852
32768,4,90,90091527
32768,8,47,91693259
32768,16,30,92458402
32768,32,17,91199669
32768,64,18,94816933
32768,128,18,95147709
32768,256,17,90643430
32768,512,17,90526073
32768,1024,17,90441318
32768,2048,15,94949249
32768,4096,10,95102760
32768,8192,235,90117852
32768,16384,235,90117849
16384,4,235,90118069
16384,8,235,90117978
16384,16,235,90117980
16384,32,235,90117960
16384,64,235,90117851
16384,128,235,90117847
16384,256,235,90117852
16384,512,235,90117851
16384,1024,235,90117845
16384,2048,235,90117848
16384,4096,235,90117845
16384,8192,235,90117854
8192,4,235,90117848
8192,8,235,90117845
8192,16,235,90117850
8192,32,235,90117846
8192,64,235,90117845
8192,128,235,90117849
8192,256,235,90117851
8192,512,235,90117846
8192,1024,235,90117847
8192,2048,235,90117848
8192,4096,235,90117853
4096,4,235,90117846
4096,8,235,90117847
4096,16,235,90117845
4096,32,235,90117845
4096,64,235,90117849
4096,128,235,90117850
4096,256,235,90117852
4096,512,235,90117849
4096,1024,235,90117848
4096,2048,235,90117852
2048,4,235,90117852
2048,8,235,90117850
2048,16,235,90117847
2048,32,235,90117852
2048,64,235,90117848
2048,128,235,90117848
2048,256,235,90117848
2048,512,235,90117852
2048,1024,235,90117848
1024,4,235,90117845
1024,8,235,90117852
1024,16,235,90117847
1024,32,235,90117849
1024,64,235,90117849
1024,128,235,90117851
1024,256,235,90117845
1024,512,235,90117851
Done!
